x,y,z
601545.4919356481,510003.5926223404,1370.337158203125
601595.5600069445,510003.5926223404,1361.389892578125
601645.6280782408,510003.5926223404,1350.9498291015625
601695.6961495371,510003.5926223404,1345.49951171875
601745.7642208333,510003.5926223404,1342.5728759765625
601795.8322921296,510003.5926223404,1340.13671875
601845.900363426,510003.5926223404,1348.7794189453125
601895.9684347223,510003.5926223404,1340.0384521484375
601946.0365060186,510003.5926223404,1326.867919921875
601996.1045773148,510003.5926223404,1309.0367431640625
602046.1726486111,510003.5926223404,1284.3580322265625
602096.2407199075,510003.5926223404,1266.1785888671875
602146.3087912038,510003.5926223404,1255.5743408203125
602196.3768625001,510003.5926223404,1249.8990478515625
602246.4449337963,510003.5926223404,1247.2603759765625
602296.5130050926,510003.5926223404,1247.5296630859375
602346.581076389,510003.5926223404,1251.7581787109375
602396.6491476853,510003.5926223404,1254.71044921875
602446.7172189815,510003.5926223404,1250.6495361328125
602496.7852902778,510003.5926223404,1241.344970703125
602546.8533615741,510003.5926223404,1226.657958984375
602596.9214328704,510003.5926223404,1209.728271484375
602646.9895041666,510003.5926223404,1195.8438720703125
602697.057575463,510003.5926223404,1186.98388671875
602747.1256467593,510003.5926223404,1182.512451171875
602797.1937180556,510003.5926223404,1178.708984375
602847.2617893519,510003.5926223404,1175.35205078125
602897.3298606481,510003.5926223404,1171.7923583984375
602947.3979319445,510003.5926223404,1169.117919921875
602997.4660032408,510003.5926223404,1166.9935302734375
603047.5340745371,510003.5926223404,1165.4061279296875
603097.6021458334,510003.5926223404,1164.2738037109375
603147.6702171296,510003.5926223404,1162.7115478515625
603197.738288426,510003.5926223404,1160.0799560546875
603247.8063597223,510003.5926223404,1157.280517578125
603297.8744310186,510003.5926223404,1154.2489013671875
603347.9425023148,510003.5926223404,1151.4742431640625
603398.0105736111,510003.5926223404,1149.814208984375
603448.0786449075,510003.5926223404,1148.330322265625
603498.1467162038,510003.5926223404,1147.340087890625
603548.2147875,510003.5926223404,1147.0733642578125
603598.2828587963,510003.5926223404,1146.138916015625
603648.3509300926,510003.5926223404,1145.3067626953125
603698.419001389,510003.5926223404,1144.54345703125
603748.4870726853,510003.5926223404,1143.3626708984375
603798.5551439815,510003.5926223404,1142.86865234375
603848.6232152778,510003.5926223404,1141.86181640625
603898.6912865741,510003.5926223404,1141.3695068359375
603948.7593578704,510003.5926223404,1140.6470947265625
603998.8274291668,510003.5926223404,1139.686279296875
604048.895500463,510003.5926223404,1139.0570068359375
604098.9635717593,510003.5926223404,1138.2313232421875
604149.0316430556,510003.5926223404,1137.82421875
604199.0997143519,510003.5926223404,1137.6444091796875
604249.1677856481,510003.5926223404,1136.905029296875
604299.2358569445,510003.5926223404,1135.997314453125
604349.3039282408,510003.5926223404,1135.8680419921875
604399.3719995371,510003.5926223404,1135.65673828125
604449.4400708333,510003.5926223404,1135.05419921875
604499.5081421296,510003.5926223404,1134.2684326171875
604549.576213426,510003.5926223404,1133.405517578125
604599.6442847223,510003.5926223404,1132.61279296875
604649.7123560186,510003.5926223404,1131.719970703125
604699.7804273148,510003.5926223404,1130.82666015625
604749.8484986111,510003.5926223404,1130.0191650390625
604799.9165699075,510003.5926223404,1129.1368408203125
604849.9846412038,510003.5926223404,1128.723388671875
604900.0527125001,510003.5926223404,1125.5308837890625
604950.1207837963,510003.5926223404,1124.687744140625
605000.1888550926,510003.5926223404,1123.9207763671875
605050.256926389,510003.5926223404,1123.0919189453125
605100.3249976853,510003.5926223404,1122.1103515625
605150.3930689815,510003.5926223404,1121.2266845703125
605200.4611402778,510003.5926223404,1120.1123046875
605250.5292115741,510003.5926223404,1119.2730712890625
605300.5972828704,510003.5926223404,1118.7264404296875
605350.6653541666,510003.5926223404,1117.8123779296875
605400.733425463,510003.5926223404,1115.4012451171875
605450.8014967593,510003.5926223404,1113.1497802734375
605500.8695680556,510003.5926223404,1110.8797607421875
605550.9376393519,510003.5926223404,1109.593994140625
605601.0057106481,510003.5926223404,1108.8004150390625
605651.0737819445,510003.5926223404,1107.856689453125
605701.1418532408,510003.5926223404,1106.4571533203125
605751.2099245371,510003.5926223404,1104.7481689453125
605801.2779958334,510003.5926223404,1103.2169189453125
605851.3460671296,510003.5926223404,1102.9537353515625
605901.414138426,510003.5926223404,1102.1307373046875
605951.4822097223,510003.5926223404,1100.822021484375
606001.5502810186,510003.5926223404,1099.0855712890625
606051.6183523148,510003.5926223404,1097.7088623046875
606101.6864236111,510003.5926223404,1096.27978515625
606151.7544949075,510003.5926223404,1094.9407958984375
606201.8225662038,510003.5926223404,1094.18310546875
606251.8906375,510003.5926223404,1093.95556640625
606301.9587087963,510003.5926223404,1093.5672607421875
606352.0267800926,510003.5926223404,1092.0411376953125
606402.094851389,510003.5926223404,1090.218994140625
606452.1629226853,510003.5926223404,1088.398193359375
606502.2309939815,510003.5926223404,1086.961669921875
606552.2990652778,510003.5926223404,1086.2166748046875
606602.3671365741,510003.5926223404,1085.6522216796875
606652.4352078704,510003.5926223404,1085.1531982421875
