category,certainty,contact,description,event,expires,headline,language,onset,responseType,senderName,severity,urgency,web,area.areaDesc,area.geocode.value,area.geocode.valueName,area.polygon,eventCode.value,eventCode.valueName,parameter.value,parameter.valueName,resource.digest,resource.mimeType,resource.resourceDesc,resource.size,resource.uri
Met,Likely,None,"Austan 13-18 m/s og skafrenningur, en 18-25 og snjókoma syðst. Búast má við lélegu skyggni og erfiðum akstursskilyrðum",Veðurviðvörun: Vindur,2022-02-19T20:00:00-00:00,Austan hvassviðri eða stormur,is-IS,2022-02-19T13:00:00-00:00,None,IMO - Meteorologist on duty,Moderate,Unknown,http://www.vedur.is/#spasvaedi=su,Suðurland,Suðurland,Spásvæði,"63.8,-22.8 64.39,-20.61 64.37,-20.18 64.21,-19.72 64,-19.74 63.88,-19.56 63.55,-19.43 63.53,-19.1 63.38,-19.1 63.37,-20.34 63.75,-20.96 63.8,-22.8",Wind,alertType,Yellow,Color,1c8015126336af265ec36ef202e91611f9cfd7a7,image/png,Icon: Vindur,17296,https://cdn.vedur.is/cap/v1/icons/yellow_wind.png
Met,Likely,None,"East 13-18 m/s and blowing snow, but 18-25 m/s and snow in the southernmost part. Poor visibility and difficult driving conditions.",Weather Warning: Wind,2022-02-19T20:00:00-00:00,East gale or severe gale,en-US,2022-02-19T13:00:00-00:00,None,IMO - Meteorologist on duty,Moderate,Unknown,http://en.vedur.is/#forec_area=su,South Iceland,South Iceland,Forecast Region,"63.8,-22.8 64.39,-20.61 64.37,-20.18 64.21,-19.72 64,-19.74 63.88,-19.56 63.55,-19.43 63.53,-19.1 63.38,-19.1 63.37,-20.34 63.75,-20.96 63.8,-22.8",Wind,alertType,Yellow,Color,1c8015126336af265ec36ef202e91611f9cfd7a7,image/png,Icon: Wind,17296,https://cdn.vedur.is/cap/v1/icons/yellow_wind.png
